body              time                 x                 y                vx                vy
1               0.244             2.51196              45.363            -2.00021             1.47543
0               0.245             2.73503            0.747269             3.00016             1.01851
1               0.245             2.50996             45.3645            -2.00021             1.47533
0               0.246             2.73803            0.748287             3.00016             1.01858
1               0.246             2.50796              45.366            -2.00021             1.47523
0               0.247             2.74103            0.749306             3.00016             1.01866
1               0.247             2.50596             45.3674            -2.00021             1.47513
0               0.248             2.74403            0.750324             3.00016             1.01873
1               0.248             2.50396             45.3689            -2.00021             1.47502
0               0.249             2.74703            0.751343             3.00016             1.01881
1               0.249             2.50196             45.3704            -2.00021             1.47492
0                0.25             2.75003            0.752362             3.00016             1.01888
1                0.25             2.49996             45.3719            -2.00021             1.47482
0               0.251             2.75303            0.753381             3.00016             1.01896
1               0.251             2.49796             45.3733            -2.00021             1.47472
0               0.252             2.75603              0.7544             3.00016             1.01903
1               0.252             2.49596             45.3748            -2.00021             1.47462
0               0.253             2.75903            0.755419             3.00016             1.01911
1               0.253             2.49396             45.3763            -2.00021             1.47452
0               0.254             2.76203            0.756438             3.00016             1.01918
1               0.254             2.49196             45.3777            -2.00021             1.47442
0               0.255             2.76503            0.757457             3.00016             1.01926
1               0.255             2.48996             45.3792            -2.00021             1.47432
0               0.256             2.76803            0.758477             3.00016             1.01933
1               0.256             2.48796             45.3807            -2.00021             1.47422
0               0.257             2.77103            0.759496             3.00016             1.01941
1               0.257             2.48596             45.3822            -2.00021             1.47412
0               0.258             2.77403            0.760516             3.00016             1.01948
1               0.258             2.48396             45.3836            -2.00021             1.47402
0               0.259             2.77703            0.761535             3.00016             1.01956
1               0.259             2.48196             45.3851            -2.00021             1.47392
0                0.26             2.78003            0.762555             3.00016             1.01964
1                0.26             2.47996             45.3866            -2.00021             1.47382
0               0.261             2.78303            0.763574             3.00015             1.01971
1               0.261             2.47796             45.3881             -2.0002             1.47372
0               0.262             2.78603            0.764594             3.00015             1.01979
1               0.262             2.47596             45.3895             -2.0002             1.47362
0               0.263             2.78903            0.765614             3.00015             1.01986
1               0.263             2.47396              45.391             -2.0002             1.47352
0               0.264             2.79203            0.766634             3.00015             1.01994
1               0.264             2.47196             45.3925             -2.0002             1.47342
0               0.265             2.79503            0.767654             3.00015             1.02001
1               0.265             2.46996              45.394             -2.0002             1.47332
0               0.266             2.79803            0.768674             3.00015             1.02009
1               0.266             2.46796             45.3954             -2.0002             1.47322
0               0.267             2.80103            0.769694             3.00015             1.02016
1               0.267             2.46596             45.3969             -2.0002             1.47312
0               0.268             2.80403            0.770714             3.00015             1.02024
1               0.268             2.46396             45.3984             -2.0002             1.47302
0               0.269             2.80703            0.771734             3.00015             1.02031
1               0.269             2.46195             45.3999             -2.0002             1.47292
0                0.27             2.81003            0.772755             3.00015             1.02039
1                0.27             2.45995             45.4013             -2.0002             1.47282
0               0.271             2.81303            0.773775             3.00015             1.02046
1               0.271             2.45795             45.4028             -2.0002             1.47271
0               0.272             2.81603            0.774796             3.00015             1.02054
1               0.272             2.45595             45.4043             -2.0002             1.47261
0               0.273             2.81903            0.775816             3.00015             1.02061
1               0.273             2.45395             45.4057             -2.0002             1.47251
0               0.274             2.82203            0.776837             3.00015             1.02069
1               0.274             2.45195             45.4072            -2.00019             1.47241
0               0.275             2.82503            0.777858             3.00015             1.02077
1               0.275             2.44995             45.4087            -2.00019             1.47231
0               0.276             2.82803            0.778879             3.00015             1.02084
1               0.276             2.44795             45.4102            -2.00019             1.47221
0               0.277             2.83104            0.779899             3.00015             1.02092
1               0.277             2.44595             45.4116            -2.00019             1.47211
0               0.278             2.83404             0.78092             3.00014             1.02099
1               0.278             2.44395             45.4131            -2.00019             1.47201
0               0.279             2.83704            0.781941             3.00014             1.02107
1               0.279             2.44195             45.4146            -2.00019             1.47191
0                0.28             2.84004            0.782962             3.00014             1.02114
1                0.28             2.43995             45.4161            -2.00019             1.47181
0               0.281             2.84304            0.783984             3.00014             1.02122
1               0.281             2.43795             45.4175            -2.00019             1.47171
0               0.282             2.84604            0.785005             3.00014             1.02129
1               0.282             2.43595              45.419            -2.00019             1.47161
0               0.283             2.84904            0.786026             3.00014             1.02137
1               0.283             2.43395             45.4205            -2.00019             1.47151
0               0.284             2.85204            0.787048             3.00014             1.02144
1               0.284             2.43195             45.4219            -2.00019             1.47141
0               0.285             2.85504            0.788069             3.00014             1.02152
1               0.285             2.42995             45.4234            -2.00018             1.47131
0               0.286             2.85804            0.789091             3.00014             1.02159
1               0.286             2.42795             45.4249            -2.00018             1.47121
0               0.287             2.86104            0.790112             3.00014             1.02167
1               0.287             2.42595             45.4264            -2.00018             1.47111
0               0.288             2.86404            0.791134             3.00014             1.02174
1               0.288             2.42395             45.4278            -2.00018             1.47101
0               0.289             2.86704            0.792156             3.00014             1.02182
1               0.289             2.42195             45.4293            -2.00018             1.47091
0                0.29             2.87004            0.793178             3.00014             1.02189
1                0.29             2.41995             45.4308            -2.00018             1.47081
0               0.291             2.87304              0.7942             3.00014             1.02197
1               0.291             2.41795             45.4322            -2.00018             1.47071
0               0.292             2.87604            0.795222             3.00013             1.02205
1               0.292             2.41595             45.4337            -2.00018             1.47061
0               0.293             2.87904            0.796244             3.00013             1.02212
1               0.293             2.41395             45.4352            -2.00018             1.47051
0               0.294             2.88204            0.797266             3.00013              1.0222
1               0.294             2.41195             45.4366            -2.00018             1.47041
0               0.295             2.88504            0.798288             3.00013             1.02227
1               0.295             2.40995             45.4381            -2.00017             1.47031
0               0.296             2.88804             0.79931             3.00013             1.02235
1               0.296             2.40795             45.4396            -2.00017             1.47021
0               0.297             2.89104            0.800333             3.00013             1.02242
1               0.297             2.40595             45.4411            -2.00017             1.47011
0               0.298             2.89404            0.801355             3.00013              1.0225
1               0.298             2.40395             45.4425            -2.00017                1.47
0               0.299             2.89704            0.802378             3.00013             1.02257
1               0.299             2.40195              45.444            -2.00017              1.4699
0                 0.3             2.90004              0.8034             3.00013             1.02265
1                 0.3             2.39995             45.4455            -2.00017              1.4698
0               0.301             2.90304            0.804423             3.00013             1.02272
1               0.301             2.39795             45.4469            -2.00017              1.4697
0               0.302             2.90604            0.805446             3.00013              1.0228
1               0.302             2.39595             45.4484            -2.00017              1.4696
0               0.303             2.90904            0.806469             3.00013             1.02287
1               0.303             2.39395             45.4499            -2.00017              1.4695
0               0.304             2.91204            0.807492             3.00012             1.02295
1               0.304             2.39195             45.4513            -2.00016              1.4694
0               0.305             2.91504            0.808515             3.00012             1.02302
1               0.305             2.38995             45.4528            -2.00016              1.4693
0               0.306             2.91804            0.809538             3.00012              1.0231
1               0.306             2.38795             45.4543            -2.00016              1.4692
0               0.307             2.92104            0.810561             3.00012             1.02317
1               0.307             2.38595             45.4558            -2.00016              1.4691
0               0.308             2.92404            0.811584             3.00012             1.02325
1               0.308             2.38395             45.4572            -2.00016               1.469
0               0.309             2.92704            0.812607             3.00012             1.02332
1               0.309             2.38195             45.4587            -2.00016              1.4689
0                0.31             2.93004            0.813631             3.00012              1.0234
1                0.31             2.37995             45.4602            -2.00016              1.4688
0               0.311             2.93304            0.814654             3.00012             1.02347
1               0.311             2.37795             45.4616            -2.00016              1.4687
0               0.312             2.93604            0.815678             3.00012             1.02355
1               0.312             2.37595             45.4631            -2.00015              1.4686
0               0.313             2.93904            0.816701             3.00012             1.02363
1               0.313             2.37395             45.4646            -2.00015              1.4685
0               0.314             2.94204            0.817725             3.00012              1.0237
1               0.314             2.37195              45.466            -2.00015              1.4684
0               0.315             2.94504            0.818749             3.00011             1.02378
1               0.315             2.36995             45.4675            -2.00015              1.4683
0               0.316             2.94804            0.819772             3.00011             1.02385
1               0.316             2.36795              45.469            -2.00015              1.4682
0               0.317             2.95104            0.820796             3.00011             1.02393
1               0.317             2.36595             45.4704            -2.00015              1.4681
0               0.318             2.95404             0.82182             3.00011               1.024
1               0.318             2.36395             45.4719            -2.00015               1.468
0               0.319             2.95704            0.822844             3.00011             1.02408
1               0.319             2.36195             45.4734            -2.00015              1.4679
0                0.32             2.96004            0.823868             3.00011             1.02415
1                0.32             2.35995             45.4748            -2.00014              1.4678
0               0.321             2.96304            0.824893             3.00011             1.02423
1               0.321             2.35795             45.4763            -2.00014              1.4677
0               0.322             2.96604            0.825917             3.00011              1.0243
1               0.322             2.35595             45.4778            -2.00014              1.4676
0               0.323             2.96904            0.826941             3.00011             1.02438
1               0.323             2.35395             45.4792            -2.00014              1.4675
0               0.324             2.97204            0.827966             3.00011             1.02445
1               0.324             2.35195             45.4807            -2.00014              1.4674
0               0.325             2.97504             0.82899              3.0001             1.02453
1               0.325             2.34995             45.4822            -2.00014              1.4673
0               0.326             2.97804            0.830015              3.0001              1.0246
1               0.326             2.34795             45.4836            -2.00014              1.4672
0               0.327             2.98104            0.831039              3.0001             1.02468
1               0.327             2.34595             45.4851            -2.00013              1.4671
0               0.328             2.98404            0.832064              3.0001             1.02475
1               0.328             2.34394             45.4866            -2.00013               1.467
0               0.329             2.98704            0.833089              3.0001             1.02483
1               0.329             2.34194              45.488            -2.00013              1.4669
0                0.33             2.99004            0.834114              3.0001              1.0249
1                0.33             2.33994             45.4895            -2.00013             1.46679
0               0.331             2.99304            0.835139              3.0001             1.02498
1               0.331             2.33794              45.491            -2.00013             1.46669
0               0.332             2.99604            0.836164              3.0001             1.02505
1               0.332             2.33594             45.4924            -2.00013             1.46659
0               0.333             2.99904            0.837189              3.0001             1.02513
1               0.333             2.33394             45.4939            -2.00013             1.46649
0               0.334             3.00204            0.838214             3.00009              1.0252
1               0.334             2.33194             45.4954            -2.00012             1.46639
0               0.335             3.00504            0.839239             3.00009             1.02528
1               0.335             2.32994             45.4968            -2.00012             1.46629
0               0.336             3.00804            0.840264             3.00009             1.02536
1               0.336             2.32794             45.4983            -2.00012             1.46619
0               0.337             3.01104             0.84129             3.00009             1.02543
1               0.337             2.32594             45.4998            -2.00012             1.46609
0               0.338             3.01404            0.842315             3.00009             1.02551
1               0.338             2.32394             45.5012            -2.00012             1.46599
0               0.339             3.01704            0.843341             3.00009             1.02558
1               0.339             2.32194             45.5027            -2.00012             1.46589
0                0.34             3.02004            0.844366             3.00009             1.02566
1                0.34             2.31994             45.5042            -2.00012             1.46579
0               0.341             3.02304            0.845392             3.00009             1.02573
1               0.341             2.31794             45.5056            -2.00011             1.46569
0               0.342             3.02604            0.846418             3.00009             1.02581
1               0.342             2.31594             45.5071            -2.00011             1.46559
0               0.343             3.02904            0.847444             3.00008             1.02588
1               0.343             2.31394             45.5086            -2.00011             1.46549
0               0.344             3.03204             0.84847             3.00008             1.02596
1               0.344             2.31194               45.51            -2.00011             1.46539
0               0.345             3.03504            0.849496             3.00008             1.02603
1               0.345             2.30994             45.5115            -2.00011             1.46529
0               0.346             3.03804            0.850522             3.00008             1.02611
1               0.346             2.30794              45.513            -2.00011             1.46519
0               0.347             3.04104            0.851548             3.00008             1.02618
1               0.347             2.30594             45.5144             -2.0001             1.46509
0               0.348             3.04404            0.852574             3.00008             1.02626
1               0.348             2.30394             45.5159             -2.0001             1.46499
0               0.349             3.04704              0.8536             3.00008             1.02633
1               0.349             2.30194             45.5174             -2.0001             1.46489
0                0.35             3.05004            0.854627             3.00008             1.02641
1                0.35             2.29994             45.5188             -2.0001             1.46479
0               0.351             3.05304            0.855653             3.00007             1.02648
1               0.351             2.29794             45.5203             -2.0001             1.46469
0               0.352             3.05604             0.85668             3.00007             1.02656
1               0.352             2.29594             45.5218             -2.0001             1.46459
0               0.353             3.05904            0.857706             3.00007             1.02663
1               0.353             2.29394             45.5232            -2.00009             1.46449
0               0.354             3.06204            0.858733             3.00007             1.02671
1               0.354             2.29194             45.5247            -2.00009             1.46439
0               0.355             3.06504             0.85976             3.00007             1.02678
1               0.355             2.28994             45.5262            -2.00009             1.46429
0               0.356             3.06804            0.860787             3.00007             1.02686
1               0.356             2.28794             45.5276            -2.00009             1.46419
0               0.357             3.07104            0.861813             3.00007             1.02693
1               0.357             2.28594             45.5291            -2.00009             1.46409
0               0.358             3.07404             0.86284             3.00007             1.02701
1               0.358             2.28394             45.5305            -2.00008             1.46399
0               0.359             3.07704            0.863867             3.00006             1.02708
1               0.359             2.28194              45.532            -2.00008             1.46389
0                0.36             3.08004            0.864895             3.00006             1.02716
1                0.36             2.27994             45.5335            -2.00008             1.46379
0               0.361             3.08304            0.865922             3.00006             1.02723
1               0.361             2.27794             45.5349            -2.00008             1.46369
0               0.362             3.08604            0.866949             3.00006             1.02731
1               0.362             2.27594             45.5364            -2.00008             1.46359
0               0.363             3.08904            0.867976             3.00006             1.02738
1               0.363             2.27394             45.5379            -2.00008             1.46349
0               0.364             3.09204            0.869004             3.00006             1.02746
1               0.364             2.27194             45.5393            -2.00007             1.46339
0               0.365             3.09504            0.870031             3.00006             1.02753
1               0.365             2.26994             45.5408            -2.00007             1.46329
0               0.366             3.09804            0.871059             3.00005             1.02761
1               0.366             2.26794             45.5423            -2.00007             1.46319
0               0.367             3.10104            0.872087             3.00005             1.02769
1               0.367             2.26594             45.5437            -2.00007             1.46309
0               0.368             3.10404            0.873114             3.00005             1.02776
1               0.368             2.26394             45.5452            -2.00007             1.46299
0               0.369             3.10704            0.874142             3.00005             1.02784
1               0.369             2.26194             45.5466            -2.00006             1.46289
0                0.37             3.11004             0.87517             3.00005             1.02791
1                0.37             2.25994             45.5481            -2.00006             1.46279
0               0.371             3.11304            0.876198             3.00005             1.02799
1               0.371             2.25794             45.5496            -2.00006             1.46269
0               0.372             3.11604            0.877226             3.00005             1.02806
1               0.372             2.25594              45.551            -2.00006             1.46259
0               0.373             3.11904            0.878254             3.00004             1.02814
1               0.373             2.25394             45.5525            -2.00006             1.46249
0               0.374             3.12204            0.879282             3.00004             1.02821
1               0.374             2.25194              45.554            -2.00006             1.46239
0               0.375             3.12504             0.88031             3.00004             1.02829
1               0.375             2.24994             45.5554            -2.00005             1.46229
0               0.376             3.12804            0.881339             3.00004             1.02836
1               0.376             2.24794             45.5569            -2.00005             1.46219
0               0.377             3.13105            0.882367             3.00004             1.02844
1               0.377             2.24594             45.5583            -2.00005             1.46209
0               0.378             3.13405            0.883396             3.00004             1.02851
1               0.378             2.24394             45.5598            -2.00005             1.46199
0               0.379             3.13705            0.884424             3.00004             1.02859
1               0.379             2.24194             45.5613            -2.00005             1.46188
0                0.38             3.14005            0.885453             3.00003             1.02866
1                0.38             2.23994             45.5627            -2.00004             1.46178
0               0.381             3.14305            0.886482             3.00003             1.02874
1               0.381             2.23794             45.5642            -2.00004             1.46168
0               0.382             3.14605             0.88751             3.00003             1.02881
1               0.382             2.23594             45.5657            -2.00004             1.46158
0               0.383             3.14905            0.888539             3.00003             1.02889
1               0.383             2.23394             45.5671            -2.00004             1.46148
0               0.384             3.15205            0.889568             3.00003             1.02896
1               0.384             2.23194             45.5686            -2.00003             1.46138
0               0.385             3.15505            0.890597             3.00003             1.02904
1               0.385             2.22994               45.57            -2.00003             1.46128
0               0.386             3.15805            0.891626             3.00002             1.02911
1               0.386             2.22794             45.5715            -2.00003             1.46118
0               0.387             3.16105            0.892655             3.00002             1.02919
1               0.387             2.22594              45.573            -2.00003             1.46108
0               0.388             3.16405            0.893684             3.00002             1.02926
1               0.388             2.22394             45.5744            -2.00003             1.46098
0               0.389             3.16705            0.894714             3.00002             1.02934
1               0.389             2.22194             45.5759            -2.00002             1.46088
0                0.39             3.17005            0.895743             3.00002             1.02941
1                0.39             2.21994             45.5773            -2.00002             1.46078
0               0.391             3.17305            0.896773             3.00002             1.02949
1               0.391             2.21794             45.5788            -2.00002             1.46068
0               0.392             3.17605            0.897802             3.00002             1.02956
1               0.392             2.21594             45.5803            -2.00002             1.46058
0               0.393             3.17905            0.898832             3.00001             1.02964
1               0.393             2.21394             45.5817            -2.00002             1.46048
0               0.394             3.18205            0.899861             3.00001             1.02971
1               0.394             2.21194             45.5832            -2.00001             1.46038
0               0.395             3.18505            0.900891             3.00001             1.02979
1               0.395             2.20994             45.5846            -2.00001             1.46028
0               0.396             3.18805            0.901921             3.00001             1.02986
1               0.396             2.20794             45.5861            -2.00001             1.46018
0               0.397             3.19105            0.902951             3.00001             1.02994
1               0.397             2.20594             45.5876            -2.00001             1.46008
0               0.398             3.19405            0.903981             3.00001             1.03001
1               0.398             2.20394              45.589                  -2             1.45998
0               0.399             3.19705            0.905011                   3             1.03009
1               0.399             2.20194             45.5905                  -2             1.45988
0                 0.4             3.20005            0.906041                   3             1.03016
1                 0.4             2.19994             45.5919                  -2             1.45978
0               0.401             3.20305            0.907071                   3             1.03024
1               0.401             2.19794             45.5934                  -2             1.45968
0               0.402             3.20605            0.908102                   3             1.03031
1               0.402             2.19594             45.5949                  -2             1.45958
0               0.403             3.20905            0.909132                   3             1.03039
1               0.403             2.19394             45.5963            -1.99999             1.45948
0               0.404             3.21205            0.910162                   3             1.03046
1               0.404             2.19194             45.5978            -1.99999             1.45938
0               0.405             3.21505            0.911193             2.99999             1.03054
1               0.405             2.18994             45.5992            -1.99999             1.45928
0               0.406             3.21805            0.912223             2.99999             1.03061
1               0.406             2.18794             45.6007            -1.99999             1.45918
0               0.407             3.22105            0.913254             2.99999             1.03069
1               0.407             2.18594             45.6022            -1.99998             1.45908
0               0.408             3.22405            0.914285             2.99999             1.03076
1               0.408             2.18394             45.6036            -1.99998             1.45898
0               0.409             3.22705            0.915316             2.99999             1.03084
1               0.409             2.18194             45.6051            -1.99998             1.45888
0                0.41             3.23005            0.916346             2.99998             1.03091
1                0.41             2.17994             45.6065            -1.99998             1.45878
0               0.411             3.23305            0.917377             2.99998             1.03099
1               0.411             2.17794              45.608            -1.99998             1.45868
0               0.412             3.23605            0.918408             2.99998             1.03106
1               0.412             2.17594             45.6095            -1.99997             1.45858
0               0.413             3.23905             0.91944             2.99998             1.03114
1               0.413             2.17394             45.6109            -1.99997             1.45848
0               0.414             3.24205            0.920471             2.99998             1.03121
1               0.414             2.17194             45.6124            -1.99997             1.45838
0               0.415             3.24505            0.921502             2.99998             1.03129
1               0.415             2.16994             45.6138            -1.99997             1.45828
0               0.416             3.24805            0.922533             2.99997             1.03136
1               0.416             2.16794             45.6153            -1.99996             1.45818
0               0.417             3.25105            0.923565             2.99997             1.03144
1               0.417             2.16594             45.6167            -1.99996             1.45808
0               0.418             3.25405            0.924596             2.99997             1.03151
1               0.418             2.16394             45.6182            -1.99996             1.45798
0               0.419             3.25705            0.925628             2.99997             1.03159
1               0.419             2.16194             45.6197            -1.99996             1.45788
0                0.42             3.26005            0.926659             2.99997             1.03166
1                0.42             2.15994             45.6211            -1.99995             1.45778
0               0.421             3.26305            0.927691             2.99996             1.03174
1               0.421             2.15794             45.6226            -1.99995             1.45768
0               0.422             3.26605            0.928723             2.99996             1.03181
1               0.422             2.15594              45.624            -1.99995             1.45758
0               0.423             3.26905            0.929755             2.99996             1.03189
1               0.423             2.15394             45.6255            -1.99995             1.45748
0               0.424             3.27205            0.930787             2.99996             1.03196
1               0.424             2.15194              45.627            -1.99994             1.45738
0               0.425             3.27505            0.931819             2.99996             1.03204
1               0.425             2.14994             45.6284            -1.99994             1.45728
0               0.426             3.27804            0.932851             2.99996             1.03211
1               0.426             2.14794             45.6299            -1.99994             1.45718
0               0.427             3.28104            0.933883             2.99995             1.03219
1               0.427             2.14594             45.6313            -1.99994             1.45708
0               0.428             3.28404            0.934915             2.99995             1.03226
1               0.428             2.14394             45.6328            -1.99993             1.45698
0               0.429             3.28704            0.935947             2.99995             1.03234
1               0.429             2.14194             45.6342            -1.99993             1.45688
0                0.43             3.29004             0.93698             2.99995             1.03241
1                0.43             2.13994             45.6357            -1.99993             1.45678
0               0.431             3.29304            0.938012             2.99995             1.03249
1               0.431             2.13794             45.6372            -1.99993             1.45668
0               0.432             3.29604            0.939045             2.99994             1.03256
1               0.432             2.13594             45.6386            -1.99992             1.45658
0               0.433             3.29904            0.940077             2.99994             1.03264
1               0.433             2.13394             45.6401            -1.99992             1.45648
0               0.434             3.30204             0.94111             2.99994             1.03271
1               0.434             2.13194             45.6415            -1.99992             1.45638
0               0.435             3.30504            0.942143             2.99994             1.03279
1               0.435             2.12994              45.643            -1.99992             1.45628
0               0.436             3.30804            0.943176             2.99994             1.03286
1               0.436             2.12794             45.6444            -1.99991             1.45618
0               0.437             3.31104            0.944208             2.99993             1.03294
1               0.437             2.12594             45.6459            -1.99991             1.45608
0               0.438             3.31404            0.945241             2.99993             1.03301
1               0.438             2.12394             45.6473            -1.99991             1.45598
0               0.439             3.31704            0.946274             2.99993             1.03309
1               0.439             2.12194             45.6488             -1.9999             1.45588
0                0.44             3.32004            0.947308             2.99993             1.03316
1                0.44             2.11994             45.6503             -1.9999             1.45578
0               0.441             3.32304            0.948341             2.99993             1.03324
1               0.441             2.11794             45.6517             -1.9999             1.45568
0               0.442             3.32604            0.949374             2.99992             1.03331
1               0.442             2.11594             45.6532             -1.9999             1.45558
0               0.443             3.32904            0.950407             2.99992             1.03339
1               0.443             2.11394             45.6546            -1.99989             1.45548
0               0.444             3.33204            0.951441             2.99992             1.03346
1               0.444             2.11194             45.6561            -1.99989             1.45538
0               0.445             3.33504            0.952474             2.99992             1.03354
1               0.445             2.10994             45.6575            -1.99989             1.45528
0               0.446             3.33804            0.953508             2.99992             1.03361
1               0.446             2.10794              45.659            -1.99989             1.45518
0               0.447             3.34104            0.954542             2.99991             1.03369
1               0.447             2.10594             45.6604            -1.99988             1.45508
0               0.448             3.34404            0.955575             2.99991             1.03376
1               0.448             2.10394             45.6619            -1.99988             1.45498
0               0.449             3.34704            0.956609             2.99991             1.03384
1               0.449             2.10194             45.6634            -1.99988             1.45488
0                0.45             3.35004            0.957643             2.99991             1.03391
1                0.45             2.09994             45.6648            -1.99987             1.45478
0               0.451             3.35304            0.958677             2.99991             1.03399
1               0.451             2.09794             45.6663            -1.99987             1.45468
0               0.452             3.35604            0.959711              2.9999             1.03406
1               0.452             2.09594             45.6677            -1.99987             1.45458
0               0.453             3.35904            0.960745              2.9999             1.03414
1               0.453             2.09394             45.6692            -1.99987             1.45448
0               0.454             3.36204            0.961779              2.9999             1.03421
1               0.454             2.09194             45.6706            -1.99986             1.45438
0               0.455             3.36504            0.962814              2.9999             1.03429
1               0.455             2.08994             45.6721            -1.99986             1.45428
0               0.456             3.36804            0.963848              2.9999             1.03436
1               0.456             2.08794             45.6735            -1.99986             1.45418
0               0.457             3.37104            0.964882             2.99989             1.03444
1               0.457             2.08594              45.675            -1.99985             1.45408
0               0.458             3.37404            0.965917             2.99989             1.03451
1               0.458             2.08394             45.6764            -1.99985             1.45398
0               0.459             3.37704            0.966951             2.99989             1.03459
1               0.459             2.08194             45.6779            -1.99985             1.45388
0                0.46             3.38004            0.967986             2.99989             1.03466
1                0.46             2.07994             45.6794            -1.99985             1.45378
0               0.461             3.38304            0.969021             2.99988             1.03474
1               0.461             2.07794             45.6808            -1.99984             1.45368
0               0.462             3.38604            0.970055             2.99988             1.03481
1               0.462             2.07594             45.6823            -1.99984             1.45358
