body              time                 x                 y                vx                vy
0               0.063               2.189             0.56315             3.00009             1.00477
1               0.063               2.874             45.0943            -2.00012             1.49364
0               0.064               2.192            0.564155             3.00009             1.00484
1               0.064               2.872             45.0958            -2.00012             1.49354
0               0.065               2.195             0.56516             3.00009             1.00492
1               0.065                2.87             45.0973            -2.00012             1.49344
0               0.066               2.198            0.566165             3.00009             1.00499
1               0.066               2.868             45.0988            -2.00012             1.49334
0               0.067               2.201             0.56717             3.00009             1.00507
1               0.067               2.866             45.1003            -2.00013             1.49324
0               0.068               2.204            0.568175              3.0001             1.00514
1               0.068               2.864             45.1018            -2.00013             1.49314
0               0.069               2.207             0.56918              3.0001             1.00522
1               0.069               2.862             45.1033            -2.00013             1.49304
0                0.07                2.21            0.570185              3.0001              1.0053
1                0.07                2.86             45.1048            -2.00013             1.49294
0               0.071               2.213            0.571191              3.0001             1.00537
1               0.071             2.85799             45.1062            -2.00013             1.49284
0               0.072               2.216            0.572196              3.0001             1.00545
1               0.072             2.85599             45.1077            -2.00013             1.49274
0               0.073               2.219            0.573202              3.0001             1.00552
1               0.073             2.85399             45.1092            -2.00013             1.49264
0               0.074               2.222            0.574207              3.0001              1.0056
1               0.074             2.85199             45.1107            -2.00014             1.49254
0               0.075               2.225            0.575213              3.0001             1.00567
1               0.075             2.84999             45.1122            -2.00014             1.49244
0               0.076               2.228            0.576219              3.0001             1.00575
1               0.076             2.84799             45.1137            -2.00014             1.49233
0               0.077               2.231            0.577224             3.00011             1.00582
1               0.077             2.84599             45.1152            -2.00014             1.49223
0               0.078               2.234             0.57823             3.00011              1.0059
1               0.078             2.84399             45.1167            -2.00014             1.49213
0               0.079               2.237            0.579236             3.00011             1.00598
1               0.079             2.84199             45.1182            -2.00014             1.49203
0                0.08                2.24            0.580242             3.00011             1.00605
1                0.08             2.83999             45.1197            -2.00014             1.49193
0               0.081               2.243            0.581248             3.00011             1.00613
1               0.081             2.83799             45.1212            -2.00015             1.49183
0               0.082               2.246            0.582254             3.00011              1.0062
1               0.082             2.83599             45.1227            -2.00015             1.49173
0               0.083             2.24901            0.583261             3.00011             1.00628
1               0.083             2.83399             45.1242            -2.00015             1.49163
0               0.084             2.25201            0.584267             3.00011             1.00635
1               0.084             2.83199             45.1256            -2.00015             1.49153
0               0.085             2.25501            0.585273             3.00011             1.00643
1               0.085             2.82999             45.1271            -2.00015             1.49143
0               0.086             2.25801             0.58628             3.00011             1.00651
1               0.086             2.82799             45.1286            -2.00015             1.49133
0               0.087             2.26101            0.587286             3.00012             1.00658
1               0.087             2.82599             45.1301            -2.00015             1.49123
0               0.088             2.26401            0.588293             3.00012             1.00666
1               0.088             2.82399             45.1316            -2.00016             1.49112
0               0.089             2.26701              0.5893             3.00012             1.00673
1               0.089             2.82199             45.1331            -2.00016             1.49102
0                0.09             2.27001            0.590306             3.00012             1.00681
1                0.09             2.81999             45.1346            -2.00016             1.49092
0               0.091             2.27301            0.591313             3.00012             1.00688
1               0.091             2.81799             45.1361            -2.00016             1.49082
0               0.092             2.27601             0.59232             3.00012             1.00696
1               0.092             2.81599             45.1376            -2.00016             1.49072
0               0.093             2.27901            0.593327             3.00012             1.00703
1               0.093             2.81399             45.1391            -2.00016             1.49062
0               0.094             2.28201            0.594334             3.00012             1.00711
1               0.094             2.81199             45.1406            -2.00016             1.49052
0               0.095             2.28501            0.595341             3.00012             1.00719
1               0.095             2.80999              45.142            -2.00016             1.49042
0               0.096             2.28801            0.596349             3.00012             1.00726
1               0.096             2.80799             45.1435            -2.00016             1.49032
0               0.097             2.29101            0.597356             3.00013             1.00734
1               0.097             2.80599              45.145            -2.00017             1.49022
0               0.098             2.29401            0.598363             3.00013             1.00741
1               0.098             2.80399             45.1465            -2.00017             1.49012
0               0.099             2.29701            0.599371             3.00013             1.00749
1               0.099             2.80199              45.148            -2.00017             1.49002
0                 0.1             2.30001            0.600378             3.00013             1.00756
1                 0.1             2.79999             45.1495            -2.00017             1.48992
0               0.101             2.30301            0.601386             3.00013             1.00764
1               0.101             2.79799              45.151            -2.00017             1.48981
0               0.102             2.30601            0.602394             3.00013             1.00771
1               0.102             2.79599             45.1525            -2.00017             1.48971
